timestamp,platform_a,platform_c,platform_b,platform_y,platform_x,mode,active,ball_x,ball_y,target_y,target_x
0,3,-224,221,3,-258,70,1,2930,1192,1176,2880
12,11,-238,227,11,-270,70,1,2933,1191,1176,2880
24,12,-300,287,12,-340,70,1,2938,1189,1176,2880
34,15,-301,286,15,-340,70,1,2938,1189,1176,2880
41,13,-257,244,13,-290,70,1,2940,1188,1176,2880
48,15,-386,371,15,-438,70,1,2945,1186,1176,2880
60,8,-321,312,8,-367,70,1,2945,1186,1176,2880
72,7,-266,259,7,-304,70,1,2947,1184,1176,2880
84,8,-269,260,8,-307,70,1,2949,1183,1176,2880
94,10,-219,208,10,-248,70,1,2949,1183,1176,2880
101,19,-231,212,19,-257,70,1,2954,1179,1176,2880
108,23,-233,210,23,-257,70,1,2954,1179,1176,2880
120,13,-186,173,13,-208,70,1,2954,1179,1176,2880
132,28,-195,166,28,-210,70,1,2958,1175,1176,2880
144,224,-546,321,224,-502,70,1,2963,1168,1176,2880
153,50,-129,78,50,-121,70,1,2960,1170,1176,2880
161,90,-228,137,90,-212,70,1,2962,1168,1176,2880
168,202,-398,195,202,-343,70,1,2968,1161,1176,2880
180,157,-278,121,157,-231,70,1,2965,1163,1176,2880
192,78,-127,48,78,-102,70,1,2967,1161,1176,2880
204,129,-308,179,129,-282,70,1,2968,1159,1176,2880
213,103,-237,134,103,-215,70,1,2968,1159,1176,2880
221,91,-175,84,91,-151,70,1,2970,1157,1176,2880
228,129,-252,123,129,-218,70,1,2972,1152,1176,2880
240,88,-135,46,88,-106,70,1,2972,1152,1176,2880
252,91,-136,45,91,-106,70,1,2973,1150,1176,2880
264,120,-192,71,120,-153,70,1,2974,1148,1176,2880
273,130,-158,27,130,-108,70,1,2975,1145,1176,2880
281,143,-165,22,143,-109,70,1,2976,1141,1176,2880
288,143,-165,22,143,-109,70,1,2976,1141,1176,2880
300,220,-245,24,220,-156,70,1,2978,1136,1176,2880
312,232,-252,19,232,-158,70,1,2979,1133,1176,2880
324,232,-213,-20,232,-113,70,1,2979,1133,1176,2880
333,247,-220,-27,247,-113,70,1,2981,1129,1176,2880
341,247,-220,-27,247,-113,70,1,2981,1129,1176,2880
348,171,-133,-38,171,-56,70,1,2980,1126,1176,2880
360,173,-144,-29,173,-67,70,1,2981,1124,1176,2880
372,220,-168,-53,220,-67,70,1,2981,1122,1176,2880
384,181,-148,-33,181,-67,70,1,2981,1120,1176,2880
392,284,-201,-84,284,-69,70,1,2982,1118,1176,2880
400,231,-213,-18,231,-114,70,1,2982,1116,1176,2880
408,295,-195,-100,295,-56,70,1,2981,1113,1176,2880
420,299,-208,-91,299,-69,70,1,2982,1111,1176,2880
432,303,-210,-93,303,-69,70,1,2982,1109,1176,2880
