timestamp,platform_a,error_x,platform_c,platform_b,error_y,platform_y,platform_x,error_delta_x,error_delta_y,mode,error_sum_y,error_sum_x,active,ball_x,ball_y,target_y,target_x
0,0,10,0,0,-22,0,0,10,-22,72,0,0,1,1286,3030,3008,1296
9,0,10,0,0,-22,0,0,10,-22,72,0,0,1,1286,3030,3008,1296
21,0,10,0,0,-22,0,0,10,-22,72,0,0,1,1286,3030,3008,1296
33,0,7,0,0,-21,0,0,7,-21,72,0,0,1,1289,3029,3008,1296
43,0,7,0,0,-21,0,0,7,-21,72,0,0,1,1289,3029,3008,1296
52,0,7,0,0,-21,0,0,-3,1,72,-21,7,1,1289,3029,3008,1296
60,0,7,0,0,-21,0,0,-3,1,72,-42,14,1,1289,3029,3008,1296
69,0,6,0,0,-23,0,0,-4,-1,72,-65,20,1,1290,3031,3008,1296
81,0,6,0,0,-23,0,0,-1,-2,72,-88,26,1,1290,3031,3008,1296
93,0,6,0,0,-23,0,0,-1,-2,72,-111,32,1,1290,3031,3008,1296
103,0,4,0,0,-26,0,0,-3,-5,72,-111,36,1,1292,3034,3008,1296
111,0,5,0,0,-28,0,0,-2,-7,72,-111,41,1,1291,3036,3008,1296
119,0,5,0,0,-28,0,0,-1,-5,72,-111,46,1,1291,3036,3008,1296
129,0,5,0,0,-30,0,0,-1,-7,72,-111,51,1,1291,3038,3008,1296
141,0,6,0,0,-32,0,0,0,-9,72,-111,57,1,1290,3040,3008,1296
153,0,6,0,0,-32,0,0,2,-6,72,-111,63,1,1290,3040,3008,1296
163,0,6,0,0,-35,0,0,1,-7,72,-111,69,1,1290,3043,3008,1296
171,0,6,0,0,-35,0,0,1,-7,72,-111,75,1,1290,3043,3008,1296
179,0,6,0,0,-35,0,0,1,-5,72,-111,81,1,1290,3043,3008,1296
189,0,4,0,0,-35,0,0,-2,-3,72,-146,85,1,1292,3043,3008,1296
201,0,4,0,0,-35,0,0,-2,-3,72,-181,89,1,1292,3043,3008,1296
213,0,4,0,0,-35,0,0,-2,0,72,-216,93,1,1292,3043,3008,1296
223,0,1,0,0,-36,0,0,-5,-1,72,-252,93,1,1295,3044,3008,1296
231,0,1,0,0,-36,0,0,-5,-1,72,-288,93,1,1295,3044,3008,1296
239,0,-1,0,0,-38,0,0,-5,-3,72,-326,93,1,1297,3046,3008,1296
249,0,-1,0,0,-38,0,0,-5,-3,72,-364,93,1,1297,3046,3008,1296
261,0,-1,0,0,-38,0,0,-5,-3,72,-402,93,1,1297,3046,3008,1296
273,0,-6,0,0,-43,0,0,-7,-7,72,-402,93,1,1302,3051,3008,1296
283,0,-6,0,0,-43,0,0,-7,-7,72,-402,93,1,1302,3051,3008,1296
291,0,-6,0,0,-43,0,0,-5,-5,72,-402,93,1,1302,3051,3008,1296
299,0,-11,0,0,-48,0,0,-10,-10,72,-402,93,1,1307,3056,3008,1296
309,0,-11,0,0,-48,0,0,-10,-10,72,-402,93,1,1307,3056,3008,1296
321,0,-11,0,0,-48,0,0,-5,-5,72,-402,93,1,1307,3056,3008,1296
333,0,-9,0,0,-44,0,0,-3,-1,72,-446,84,1,1305,3052,3008,1296
343,0,-5,0,0,-43,0,0,1,0,72,-489,79,1,1301,3051,3008,1296
351,0,-8,0,0,-45,0,0,3,3,72,-534,71,1,1304,3053,3008,1296
359,0,-3,0,0,-38,0,0,8,10,72,-534,71,1,1299,3046,3008,1296
369,0,0,0,0,-37,0,0,11,11,72,-534,71,1,1296,3045,3008,1296
381,0,-5,0,0,-39,0,0,4,5,72,-534,66,1,1301,3047,3008,1296
393,0,-5,0,0,-39,0,0,0,4,72,-573,61,1,1301,3047,3008,1296
403,0,-5,0,0,-39,0,0,3,6,72,-573,56,1,1301,3047,3008,1296
411,0,-7,0,0,-40,0,0,-4,-2,72,-613,49,1,1303,3048,3008,1296
419,0,-7,0,0,-37,0,0,-7,0,72,-650,49,1,1303,3045,3008,1296
429,0,-7,0,0,-37,0,0,-2,2,72,-687,42,1,1303,3045,3008,1296
441,0,-7,0,0,-37,0,0,-2,2,72,-724,35,1,1303,3045,3008,1296
453,0,-7,0,0,-35,0,0,-2,4,72,-759,28,1,1303,3043,3008,1296
462,0,-7,0,0,-35,0,0,0,5,72,-759,21,1,1303,3043,3008,1296
471,0,-8,0,0,-33,0,0,-1,4,72,-792,13,1,1304,3041,3008,1296
479,0,-8,0,0,-33,0,0,-1,4,72,-825,5,1,1304,3041,3008,1296
489,0,-8,0,0,-33,0,0,-1,4,72,-858,-3,1,1304,3041,3008,1296
501,0,-9,0,0,-31,0,0,-2,4,72,-889,-12,1,1305,3039,3008,1296
513,0,-6,0,0,-30,0,0,1,5,72,-889,-18,1,1302,3038,3008,1296
522,0,-6,0,0,-30,0,0,2,3,72,-919,-24,1,1302,3038,3008,1296
531,0,-6,0,0,-30,0,0,2,3,72,-949,-30,1,1302,3038,3008,1296
539,0,-1,0,0,-29,0,0,7,4,72,-978,-30,1,1297,3037,3008,1296
549,0,-1,0,0,-29,0,0,8,2,72,-1007,-30,1,1297,3037,3008,1296
561,0,-1,0,0,-29,0,0,5,1,72,-1036,-30,1,1297,3037,3008,1296
573,0,4,0,0,-28,0,0,10,2,72,-1064,-30,1,1292,3036,3008,1296
582,0,4,0,0,-28,0,0,10,2,72,-1092,-30,1,1292,3036,3008,1296
590,0,4,0,0,-28,0,0,5,1,72,-1120,-30,1,1292,3036,3008,1296
599,0,-1,0,0,-24,0,0,0,5,72,-1120,-31,1,1297,3032,3008,1296
609,0,-1,0,0,-24,0,0,0,5,72,-1120,-32,1,1297,3032,3008,1296
621,0,-1,0,0,-24,0,0,-5,4,72,-1144,-32,1,1297,3032,3008,1296
633,0,-10,0,0,-22,0,0,-14,6,72,-1144,-32,1,1306,3030,3008,1296
642,0,-10,0,0,-22,0,0,-14,6,72,-1144,-32,1,1306,3030,3008,1296
650,40,-10,-3,-38,-22,40,20,-9,2,72,-1166,-32,1,1306,3030,3008,1296
658,80,-11,46,-127,-25,80,100,-10,-1,72,-1191,-32,1,1307,3033,3008,1296
669,100,-12,36,-137,-27,100,100,-11,-3,72,-1218,-32,1,1308,3035,3008,1296
681,120,-12,43,-164,-27,120,120,-2,-5,72,-1218,-44,1,1308,3035,3008,1296
693,160,-12,23,-184,-27,160,120,-2,-5,72,-1218,-56,1,1308,3035,3008,1296
702,180,-13,13,-194,-29,180,120,-3,-7,72,-1218,-69,1,1309,3037,3008,1296
710,200,-13,3,-204,-29,200,120,-2,-4,72,-1247,-82,1,1309,3037,3008,1296
718,200,-13,3,-204,-29,200,120,-1,-2,72,-1276,-95,1,1309,3037,3008,1296
729,200,-13,3,-204,-29,200,120,-1,-2,72,-1305,-108,1,1309,3037,3008,1296
741,200,-15,3,-204,-31,200,120,-3,-4,72,-1336,-123,1,1311,3039,3008,1296
753,200,-15,-14,-187,-31,200,100,-2,-2,72,-1367,-138,1,1311,3039,3008,1296
762,160,-15,6,-167,-31,160,100,-2,-2,72,-1398,-153,1,1311,3039,3008,1296
770,140,-19,-1,-140,-34,140,80,-6,-5,72,-1398,-153,1,1315,3042,3008,1296
778,100,-19,-16,-85,-34,100,40,-6,-5,72,-1398,-153,1,1315,3042,3008,1296
789,60,-19,-13,-48,-34,60,20,-4,-3,72,-1432,-172,1,1315,3042,3008,1296
801,40,-22,-20,-20,-35,40,0,-7,-4,72,-1467,-172,1,1318,3043,3008,1296
813,40,-22,-20,-20,-35,40,0,-7,-4,72,-1502,-172,1,1318,3043,3008,1296
822,20,-22,-10,-10,-35,20,0,-3,-1,72,-1537,-194,1,1318,3043,3008,1296
830,20,-22,-10,-10,-35,20,0,-3,-1,72,-1572,-216,1,1318,3043,3008,1296
838,20,-24,-10,-10,-34,20,0,-5,0,72,-1606,-216,1,1320,3042,3008,1296
849,20,-24,-10,-10,-34,20,0,-2,1,72,-1640,-240,1,1320,3042,3008,1296
861,20,-24,-10,-10,-34,20,0,-2,1,72,-1674,-264,1,1320,3042,3008,1296
873,20,-28,-10,-10,-34,20,0,-6,1,72,-1708,-264,1,1324,3042,3008,1296
882,20,-28,-10,-10,-34,20,0,-6,1,72,-1742,-264,1,1324,3042,3008,1296
890,20,-28,-10,-10,-34,20,0,-4,0,72,-1776,-292,1,1324,3042,3008,1296
898,20,-30,-10,-10,-35,20,0,-6,-1,72,-1811,-292,1,1326,3043,3008,1296
909,20,-30,-10,-10,-35,20,0,-6,-1,72,-1846,-292,1,1326,3043,3008,1296
921,20,-30,-10,-10,-35,20,0,-2,-1,72,-1881,-322,1,1326,3043,3008,1296
933,20,-30,-10,-10,-35,20,0,-2,-1,72,-1916,-352,1,1326,3043,3008,1296
942,20,-32,-10,-10,-35,20,0,-4,-1,72,-1951,-384,1,1328,3043,3008,1296
950,20,-32,-10,-10,-35,20,0,-2,0,72,-1986,-416,1,1328,3043,3008,1296
958,20,-34,-10,-10,-35,20,0,-4,0,72,-2021,-450,1,1330,3043,3008,1296
969,20,-36,-10,-10,-36,20,0,-6,-1,72,-2057,-450,1,1332,3044,3008,1296
981,20,-38,-10,-10,-36,20,0,-8,-1,72,-2093,-450,1,1334,3044,3008,1296
993,20,-41,-10,-10,-36,20,0,-9,-1,72,-2129,-450,1,1337,3044,3008,1296
1002,20,-41,-10,-10,-36,20,0,-9,-1,72,-2165,-450,1,1337,3044,3008,1296
1010,20,-43,-10,-10,-37,20,0,-9,-2,72,-2202,-450,1,1339,3045,3008,1296
1017,20,-43,-10,-10,-37,20,0,-7,-1,72,-2239,-450,1,1339,3045,3008,1296
1029,20,-43,-10,-10,-37,20,0,-5,-1,72,-2276,-450,1,1339,3045,3008,1296
1041,20,-43,-10,-10,-37,20,0,-2,-1,72,-2313,-493,1,1339,3045,3008,1296
1053,20,-43,-10,-10,-37,20,0,-2,-1,72,-2350,-536,1,1339,3045,3008,1296
1061,20,-45,-10,-10,-37,20,0,-2,0,72,-2387,-581,1,1341,3045,3008,1296
1070,20,-47,-10,-10,-37,20,0,-4,0,72,-2424,-628,1,1343,3045,3008,1296
