timestamp,platform_a,platform_c,platform_b,platform_y,platform_x,mode,active,ball_x,ball_y,target_y,target_x
0,54,-108,53,54,-93,78,1,1358,1141,1176,1296
12,36,-109,72,36,-104,78,1,1359,1143,1176,1296
24,47,-95,48,47,-83,78,1,1359,1143,1176,1296
30,47,-95,48,47,-83,78,1,1359,1143,1176,1296
36,24,-104,79,24,-106,78,1,1361,1146,1176,1296
48,24,-104,79,24,-106,78,1,1361,1146,1176,1296
60,39,-102,63,39,-95,78,1,1361,1146,1176,1296
72,39,-102,63,39,-95,78,1,1361,1146,1176,1296
84,39,-102,63,39,-95,78,1,1361,1146,1176,1296
90,59,-101,42,59,-83,78,1,1361,1146,1176,1296
96,59,-101,42,59,-83,78,1,1361,1146,1176,1296
108,59,-101,42,59,-83,78,1,1361,1146,1176,1296
120,59,-101,42,59,-83,78,1,1361,1146,1176,1296
132,59,-101,42,59,-83,78,1,1361,1146,1176,1296
143,59,-101,42,59,-83,78,1,1361,1146,1176,1296
150,59,-101,42,59,-83,78,1,1361,1146,1176,1296
156,59,-101,42,59,-83,78,1,1361,1146,1176,1296
168,59,-101,42,59,-83,78,1,1361,1146,1176,1296
180,59,-101,42,59,-83,78,1,1361,1146,1176,1296
192,59,-101,42,59,-83,78,1,1361,1146,1176,1296
203,59,-101,42,59,-83,78,1,1361,1146,1176,1296
210,59,-101,42,59,-83,78,1,1361,1146,1176,1296
216,59,-101,42,59,-83,78,1,1361,1146,1176,1296
228,59,-101,42,59,-83,78,1,1361,1146,1176,1296
240,59,-101,42,59,-83,78,1,1361,1146,1176,1296
252,59,-101,42,59,-83,78,1,1361,1146,1176,1296
263,59,-101,42,59,-83,78,1,1361,1146,1176,1296
270,59,-101,42,59,-83,78,1,1361,1146,1176,1296
276,59,-101,42,59,-83,78,1,1361,1146,1176,1296
288,59,-101,42,59,-83,78,1,1361,1146,1176,1296
300,59,-101,42,59,-83,78,1,1361,1146,1176,1296
312,116,-98,-19,116,-46,78,1,1359,1144,1176,1296
322,116,-98,-19,116,-46,78,1,1359,1144,1176,1296
330,116,-98,-19,116,-46,78,1,1359,1144,1176,1296
336,146,-99,-48,146,-29,78,1,1358,1142,1176,1296
348,192,-117,-76,192,-24,78,1,1358,1139,1176,1296
360,190,-135,-56,190,-46,78,1,1358,1139,1176,1296
372,190,-135,-56,190,-46,78,1,1358,1139,1176,1296
382,232,-173,-60,232,-65,78,1,1359,1137,1176,1296
390,209,-168,-41,209,-73,78,1,1359,1137,1176,1296
396,127,-137,10,127,-85,78,1,1359,1137,1176,1296
408,193,-146,-47,193,-57,78,1,1358,1135,1176,1296
420,193,-146,-47,193,-57,78,1,1358,1135,1176,1296
432,140,-117,-24,140,-54,78,1,1358,1135,1176,1296
442,183,-133,-50,183,-48,78,1,1358,1133,1176,1296
450,183,-133,-50,183,-48,78,1,1358,1133,1176,1296
456,142,-130,-13,142,-68,78,1,1358,1133,1176,1296
468,142,-130,-13,142,-68,78,1,1358,1133,1176,1296
480,142,-130,-13,142,-68,78,1,1358,1133,1176,1296
492,86,-112,25,86,-79,78,1,1358,1133,1176,1296
502,86,-112,25,86,-79,78,1,1358,1133,1176,1296
509,86,-112,25,86,-79,78,1,1358,1133,1176,1296
516,86,-112,25,86,-79,78,1,1358,1133,1176,1296
528,86,-112,25,86,-79,78,1,1358,1133,1176,1296
540,86,-112,25,86,-79,78,1,1358,1133,1176,1296
552,86,-112,25,86,-79,78,1,1358,1133,1176,1296
562,140,-105,-36,140,-40,78,1,1356,1131,1176,1296
569,140,-105,-36,140,-40,78,1,1356,1131,1176,1296
576,140,-105,-36,140,-40,78,1,1356,1131,1176,1296
588,159,-103,-56,159,-27,78,1,1355,1129,1176,1296
600,159,-103,-56,159,-27,78,1,1355,1129,1176,1296
612,154,-119,-36,154,-48,78,1,1355,1129,1176,1296
621,154,-119,-36,154,-48,78,1,1355,1129,1176,1296
629,154,-119,-36,154,-48,78,1,1355,1129,1176,1296
636,106,-88,-19,106,-40,78,1,1353,1129,1176,1296
648,106,-88,-19,106,-40,78,1,1353,1129,1176,1296
660,106,-88,-19,106,-40,78,1,1353,1129,1176,1296
672,80,-57,-24,80,-19,78,1,1351,1129,1176,1296
681,80,-57,-24,80,-19,78,1,1351,1129,1176,1296
689,105,-85,-20,105,-38,78,1,1351,1129,1176,1296
696,105,-85,-20,105,-38,78,1,1351,1129,1176,1296
708,105,-85,-20,105,-38,78,1,1351,1129,1176,1296
720,101,-108,7,101,-66,78,1,1351,1129,1176,1296
732,101,-108,7,101,-66,78,1,1351,1129,1176,1296
741,101,-108,7,101,-66,78,1,1351,1129,1176,1296
749,105,-73,-32,105,-24,78,1,1348,1128,1176,1296
756,105,-73,-32,105,-24,78,1,1348,1128,1176,1296
768,105,-73,-32,105,-24,78,1,1348,1128,1176,1296
780,79,-39,-39,79,0,78,1,1346,1128,1176,1296
792,79,-11,-68,79,33,78,1,1344,1127,1176,1296
801,88,-53,-36,88,-10,78,1,1344,1127,1176,1296
809,88,-53,-36,88,-10,78,1,1344,1127,1176,1296
816,87,-24,-63,87,22,78,1,1342,1126,1176,1296
828,102,-57,-46,102,-6,78,1,1342,1126,1176,1296
840,112,-79,-34,112,-26,78,1,1342,1126,1176,1296
852,112,-79,-34,112,-26,78,1,1342,1126,1176,1296
861,112,-79,-34,112,-26,78,1,1342,1126,1176,1296
869,114,-100,-15,114,-49,78,1,1342,1126,1176,1296
876,114,-100,-15,114,-49,78,1,1342,1126,1176,1296
888,114,-100,-15,114,-49,78,1,1342,1126,1176,1296
900,94,-69,-26,94,-25,78,1,1340,1126,1176,1296
912,94,-69,-26,94,-25,78,1,1340,1126,1176,1296
921,94,-69,-26,94,-25,78,1,1340,1126,1176,1296
929,69,-36,-33,69,-2,78,1,1338,1126,1176,1296
936,69,-36,-33,69,-2,78,1,1338,1126,1176,1296
948,92,-66,-27,92,-23,78,1,1338,1126,1176,1296
960,92,-66,-27,92,-23,78,1,1338,1126,1176,1296
972,92,-66,-27,92,-23,78,1,1338,1126,1176,1296
980,115,-94,-21,115,-42,78,1,1338,1126,1176,1296
988,115,-94,-21,115,-42,78,1,1338,1126,1176,1296
996,115,-94,-21,115,-42,78,1,1338,1126,1176,1296
1008,115,-94,-21,115,-42,78,1,1338,1126,1176,1296
1020,115,-94,-21,115,-42,78,1,1338,1126,1176,1296
1032,115,-94,-21,115,-42,78,1,1338,1126,1176,1296
1040,115,-94,-21,115,-42,78,1,1338,1126,1176,1296
1048,115,-94,-21,115,-42,78,1,1338,1126,1176,1296
1056,115,-94,-21,115,-42,78,1,1338,1126,1176,1296
1068,72,-56,-17,72,-22,78,1,1336,1127,1176,1296
1080,72,-56,-17,72,-22,78,1,1336,1127,1176,1296
1092,72,-56,-17,72,-22,78,1,1336,1127,1176,1296
1100,32,-16,-16,32,0,78,1,1334,1128,1176,1296
1108,32,-16,-16,32,0,78,1,1334,1128,1176,1296
1116,68,-52,-17,68,-20,78,1,1334,1128,1176,1296
1128,68,-52,-17,68,-20,78,1,1334,1128,1176,1296
1140,68,-52,-17,68,-20,78,1,1334,1128,1176,1296
1152,109,-86,-23,109,-36,78,1,1334,1128,1176,1296
